date,event_type,target_id,target_name,headline,severity,estimated_impact_days,value_at_risk_musd
2026-04-27,cyber,M88A2,M88A2 HERCULES Recovery,Wiper malware on supplier-tier ERP at M88A2 HERCULES Recovery,MODERATE,9,11
2026-04-27,infrastructure,BABMANDEB,Bab-el-Mandeb,Pier-7 STS crane catastrophic failure at Bab-el-Mandeb,HIGH,17,116
2026-04-27,export_ctrl,AMPV,AMPV — Armored Multi-Purpose,PRC export licensing freeze on neodymium-iron-boron magnets (AMPV — Armored Multi-Purpose),HIGH,19,44
2026-04-26,export_ctrl,RAYTHEON,Raytheon Andover,PRC export licensing freeze on neodymium-iron-boron magnets (Raytheon Andover),MODERATE,6,34
2026-04-26,cyber,RAREEARTH,Lynas Mt Weld,Wiper malware on supplier-tier ERP at Lynas Mt Weld,MODERATE,3,4
2026-04-25,regulatory,MPMATERIAL,MP Materials Mountain Pass,Section 232 tariff bump on rare-earth imports through MP Materials Mountain Pass,MODERATE,10,7
2026-04-25,typhoon,RAYTHEON,Raytheon Andover,TROPICAL STORM HAIKUI-26D — port closure Raytheon Andover,HIGH,24,130
2026-04-24,labor,OSHKOSH,Oshkosh Defense,Customs slowdown at Oshkosh Defense — 14-day backlog,MODERATE,6,17
2026-04-24,cyber,F35B,F-35B Lightning II,Wiper malware on supplier-tier ERP at F-35B Lightning II,HIGH,12,137
2026-04-23,regulatory,HIMARS,HIMARS / NMESIS,Section 232 tariff bump on rare-earth imports through HIMARS / NMESIS,MODERATE,9,26
2026-04-23,infrastructure,TWNSTRAIT,Taiwan Strait,Pier-7 STS crane catastrophic failure at Taiwan Strait,CRITICAL,38,452
2026-04-23,regulatory,RAREEARTH,Lynas Mt Weld,Section 232 tariff bump on rare-earth imports through Lynas Mt Weld,HIGH,13,14
2026-04-23,kinetic,MV22,MV-22B Osprey,Houthi ASBM launch toward Liberian-flagged hull transiting MV-22B Osprey,MODERATE,10,39
2026-04-22,export_ctrl,BABMANDEB,Bab-el-Mandeb,PRC export licensing freeze on neodymium-iron-boron magnets (Bab-el-Mandeb),MODERATE,8,63
2026-04-21,cyber,MAXAR,Maxar Westminster,Wiper malware on supplier-tier ERP at Maxar Westminster,MODERATE,3,3
2026-04-21,kinetic,OSHKOSH,Oshkosh Defense,Drone strike on storage tanks adjacent to Oshkosh Defense,CRITICAL,39,98
2026-04-21,typhoon,PANAMA,Panama Canal,TYPHOON BAVI-26C CPA <72h to Panama Canal,HIGH,18,96
2026-04-21,kinetic,CH53K,CH-53K King Stallion,PRC Coast Guard harassment of inbound tanker via CH-53K King Stallion,HIGH,20,218
2026-04-20,financial,HIMARS,HIMARS / NMESIS,Force majeure declared by HIMARS / NMESIS on Q3 deliveries,LOW,3,9
2026-04-18,regulatory,OSHKOSH,Oshkosh Defense,Section 232 tariff bump on rare-earth imports through Oshkosh Defense,MODERATE,5,12
2026-04-18,infrastructure,PWHITNEY,Pratt & Whitney East Hartford,Submarine cable cut SE of Pratt & Whitney East Hartford — comms via SATCOM failover,HIGH,20,51
2026-04-18,regulatory,RAYTHEON,Raytheon Andover,Section 232 tariff bump on rare-earth imports through Raytheon Andover,LOW,1,6
2026-04-18,cyber,ACV,ACV — Amphibious Combat Vehicle,Ransomware on ACV — Amphibious Combat Vehicle ICS — production halted 36h,HIGH,24,84
2026-04-17,cyber,TWNSTRAIT,Taiwan Strait,Ransomware on Taiwan Strait ICS — production halted 36h,CRITICAL,50,874
2026-04-17,financial,MAXAR,Maxar Westminster,Force majeure declared by Maxar Westminster on Q3 deliveries,LOW,1,1
2026-04-16,labor,GLOBALWAF,GlobalWafers Hsinchu,Work-stoppage at GlobalWafers Hsinchu — IBEW Local 2150 strike vote,LOW,2,2
2026-04-15,cyber,MAXAR,Maxar Westminster,Ransomware on Maxar Westminster ICS — production halted 36h,LOW,1,0
2026-04-15,typhoon,PANAMA,Panama Canal,TYPHOON BAVI-26C CPA <72h to Panama Canal,MODERATE,5,59
2026-04-14,labor,SMIC,Samsung Pyeongtaek,Customs slowdown at Samsung Pyeongtaek — 14-day backlog,HIGH,20,121
2026-04-14,export_ctrl,ACV,ACV — Amphibious Combat Vehicle,PRC export licensing freeze on neodymium-iron-boron magnets (ACV — Amphibious Combat Vehicle),MODERATE,5,16
2026-04-13,regulatory,RAYTHEON,Raytheon Andover,DCMA Tier-3 audit finding at Raytheon Andover — 21-day shipment hold,MODERATE,5,16
2026-04-13,regulatory,JLTV,JLTV — Joint Light Tactical,Section 232 tariff bump on rare-earth imports through JLTV — Joint Light Tactical,LOW,3,13
2026-04-13,regulatory,NORTHROP,Northrop Palmdale,DCMA Tier-3 audit finding at Northrop Palmdale — 21-day shipment hold,CRITICAL,50,266
2026-04-12,typhoon,AMPV,AMPV — Armored Multi-Purpose,TROPICAL STORM HAIKUI-26D — port closure AMPV — Armored Multi-Purpose,LOW,3,5
2026-04-12,typhoon,MPMATERIAL,MP Materials Mountain Pass,TROPICAL STORM HAIKUI-26D — port closure MP Materials Mountain Pass,MODERATE,8,7
2026-04-11,export_ctrl,ACV,ACV — Amphibious Combat Vehicle,PRC export licensing freeze on neodymium-iron-boron magnets (ACV — Amphibious Combat Vehicle),MODERATE,7,33
2026-04-10,kinetic,ACV,ACV — Amphibious Combat Vehicle,Drone strike on storage tanks adjacent to ACV — Amphibious Combat Vehicle,MODERATE,5,19
2026-04-10,infrastructure,TSMC,TSMC Fab 18,Drought-driven Gatun Lake transit cap tightened at TSMC Fab 18,HIGH,11,113
2026-04-09,financial,GDLS,GD Land Systems Lima,Force majeure declared by GD Land Systems Lima on Q3 deliveries,CRITICAL,59,96
2026-04-09,labor,BAOTOU,Baotou Steel Rare-Earth,Customs slowdown at Baotou Steel Rare-Earth — 14-day backlog,MODERATE,6,38
2026-04-09,infrastructure,RAREEARTH,Lynas Mt Weld,Drought-driven Gatun Lake transit cap tightened at Lynas Mt Weld,HIGH,28,24
2026-04-08,kinetic,PANAMA,Panama Canal,PRC Coast Guard harassment of inbound tanker via Panama Canal,MODERATE,5,26
