bumper_no,family,family_long,depot,priority,priority_label,labor_hours_est,skills_needed,required_parts_nsn,induct_date,status
MV--1014,MV-22,MV-22B Osprey,BIC,1,FD-1 / IPL-A — combat-essential,2795,"avionics,powertrain,hydraulics","2935-01-510-9923,3110-01-617-8013",2026-01-27,PENDING
MV--1058,MV-22,MV-22B Osprey,BIC,1,FD-1 / IPL-A — combat-essential,1988,"avionics,powertrain,hydraulics","1660-01-560-2218,1680-01-651-2244,3110-01-617-8013",2026-02-02,INDUCTED
LAV-1053,LAV,Light Armored Vehicle,BAR,1,FD-1 / IPL-A — combat-essential,552,"powertrain,armor,weapons",2920-01-518-9912,2026-02-09,PENDING
MTV-1077,MTVR,Medium Tactical Vehicle Replacement,BAR,1,FD-1 / IPL-A — combat-essential,233,"powertrain,hydraulics",4710-01-440-9921,2026-02-16,PENDING
M1A-1007,M1A1,M1A1 Abrams Tank,BIC,1,FD-1 / IPL-A — combat-essential,2501,"armor,powertrain,weapons","1660-01-560-2218,6130-01-651-1182",2026-02-25,PENDING
AAV-1061,AAV,Assault Amphibious Vehicle,BIC,1,FD-1 / IPL-A — combat-essential,703,"armor,powertrain,hydraulics","4730-01-441-2298,1660-01-560-2218,2920-01-588-4471",2026-03-01,INDUCTED
AAV-1005,AAV,Assault Amphibious Vehicle,BAR,1,FD-1 / IPL-A — combat-essential,1090,"armor,powertrain,hydraulics",1660-01-560-2218,2026-03-09,PENDING
MTV-1050,MTVR,Medium Tactical Vehicle Replacement,ALB,1,FD-1 / IPL-A — combat-essential,428,"powertrain,hydraulics","2520-01-562-9981,2920-01-518-9912,2920-01-588-4471",2026-03-14,INDUCTED
AAV-1003,AAV,Assault Amphibious Vehicle,BIC,1,FD-1 / IPL-A — combat-essential,919,"armor,powertrain,hydraulics","5305-01-118-4422,5340-01-122-4419,2920-01-518-9912",2026-03-31,PENDING
AAV-1012,AAV,Assault Amphibious Vehicle,BAR,2,FD-2 / IPL-B — mission-critical,876,"armor,powertrain,hydraulics","1730-01-498-7102,5305-01-118-4422,6130-01-651-1182",2026-01-29,PENDING
LAV-1029,LAV,Light Armored Vehicle,BAR,2,FD-2 / IPL-B — mission-critical,580,"powertrain,armor,weapons",2540-01-572-3041,2026-01-31,INDUCTED
M1A-1016,M1A1,M1A1 Abrams Tank,ALB,2,FD-2 / IPL-B — mission-critical,3656,"armor,powertrain,weapons","4710-01-440-9921,6130-01-651-1182,5305-01-118-4422",2026-02-06,PENDING
MTV-1060,MTVR,Medium Tactical Vehicle Replacement,ALB,2,FD-2 / IPL-B — mission-critical,310,"powertrain,hydraulics","4710-01-440-9921,2540-01-572-3041",2026-02-06,PENDING
AAV-1069,AAV,Assault Amphibious Vehicle,BIC,2,FD-2 / IPL-B — mission-critical,1096,"armor,powertrain,hydraulics",6130-01-651-1182,2026-02-10,PENDING
M1A-1078,M1A1,M1A1 Abrams Tank,ALB,2,FD-2 / IPL-B — mission-critical,2512,"armor,powertrain,weapons",6130-01-651-1182,2026-02-13,PENDING
MTV-1062,MTVR,Medium Tactical Vehicle Replacement,BAR,2,FD-2 / IPL-B — mission-critical,417,"powertrain,hydraulics",4730-01-441-2298,2026-02-26,PENDING
