a,b,mode,miles,capacity_tpd,clearance_in,weight_limit_lbs,bottleneck_named
MCLB-ALB,POE-JAX,road,240,3200,192,80000,
MCLB-ALB,POE-SAV,road,230,3400,198,88000,
MCLB-ALB,POE-CHS,road,360,2900,186,80000,I-95 Charleston Connector
MCLB-ALB,POE-BMT,road,770,2200,168,70000,I-10 Lake Charles bridge
MCLB-ALB,POE-HRO,road,700,2400,192,80000,
BIC-JAX,POE-JAX,road,12,6100,198,96000,
MCB-LEJ,POE-HRO,road,215,2700,192,80000,
MCB-LEJ,POE-CHS,road,285,2500,186,80000,
MCB-PEN,POE-LGB,road,75,5200,198,88000,
MCLB-BAR,POE-LGB,road,145,4100,192,80000,I-15 Cajon Pass grade
MCLB-BAR,RT-LAX,road,150,4400,192,80000,
29P,MCB-PEN,road,130,2600,186,80000,
29P,AP-MAR,road,90,2400,186,80000,
MCLB-ALB,POE-COR,road,1090,1900,174,72000,I-10 Atchafalaya Basin trestle
RT-DAL,POE-BMT,road,280,3500,192,88000,
RT-MEM,POE-BMT,road,580,2700,186,80000,
RT-NOR,POE-HRO,road,22,5800,198,96000,
MCLB-ALB,RT-ATL,rail,175,5400,240,286000,
RT-ATL,RT-MEM,rail,395,6800,245,286000,
RT-MEM,RT-DAL,rail,470,7100,240,286000,
RT-DAL,POE-BMT,rail,290,6400,234,286000,Devers Sub single-track
RT-MEM,RT-KCK,rail,510,7300,245,286000,
RT-KCK,RT-CHI,rail,510,8100,245,286000,
RT-CHI,RT-NOR,rail,870,6700,240,286000,Horseshoe Curve gradient
RT-NOR,POE-HRO,rail,25,5200,240,286000,
RT-ATL,POE-SAV,rail,250,6300,240,286000,
RT-ATL,POE-CHS,rail,300,5800,240,286000,
RT-LAX,POE-LGB,rail,22,7900,245,286000,
RT-LAX,RT-DAL,rail,1430,5600,240,286000,Sunset Route Tehachapi
MCLB-BAR,RT-LAX,rail,130,6200,240,286000,
RT-CHI,POE-TAC,rail,2070,5100,240,286000,Stampede Pass clearance
MCB-PEN,RT-LAX,rail,90,4800,240,286000,
RP-MEM,RP-NOL,waterway,695,9800,0,0,Old River Control Structure
RP-STL,RP-MEM,waterway,480,8400,0,0,
RP-NOL,POE-COR,waterway,460,7600,0,0,GIWW Houma lock queue
RP-NOL,RP-LCH,waterway,230,6900,0,0,
RP-LCH,POE-BMT,waterway,30,7400,0,0,Sabine-Neches Waterway draft
AP-DOV,POE-HRO,air,175,850,0,290000,
AP-CHS,POE-CHS,air,12,1200,0,290000,
AP-TRA,POE-OAK,air,55,1100,0,290000,
AP-MAR,POE-LGB,air,65,950,0,290000,
AP-DOV,AP-CHS,air,540,800,0,290000,
AP-TRA,AP-MAR,air,380,850,0,290000,
